order_id,quantity,item_name,choice_description,item_price,price_num,price_range
21,1,Izze,[Blackberry],$3.39 ,3.39,cheap
22,1,Steak Burrito,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Sour Cream]]",$8.99 ,8.99,moderate
22,1,Chips and Guacamole,Pending,$3.99 ,3.99,cheap
23,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
23,2,Canned Soda,[Mountain Dew],$2.18 ,2.18,cheap
24,1,Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",$10.98 ,10.98,pricey
24,1,Canned Soda,[Sprite],$1.09 ,1.09,cheap
25,1,Steak Bowl,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]",$8.99 ,8.99,moderate
25,1,Chips and Fresh Tomato Salsa,Pending,$2.39 ,2.39,cheap
26,1,Barbacoa Soft Tacos,"[Fresh Tomato Salsa, [Fajita Vegetables, Black Beans, Lettuce]]",$9.25 ,9.25,moderate
26,1,Veggie Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
27,1,Barbacoa Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 ,11.75,pricey
27,1,Chips,Pending,$2.15 ,2.15,cheap
28,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
28,1,Steak Soft Tacos,"[Fresh Tomato Salsa, Cheese]",$9.25 ,9.25,moderate
28,1,Veggie Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
28,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]",$8.75 ,8.75,moderate
29,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
29,1,Steak Soft Tacos,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
30,1,Izze,[Blackberry],$3.39 ,3.39,cheap
30,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese]]",$8.99 ,8.99,moderate
30,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",$10.98 ,10.98,pricey
31,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]",$8.99 ,8.99,moderate
31,1,Side of Chips,Pending,$1.69 ,1.69,cheap
32,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
32,1,Chips and Guacamole,Pending,$3.99 ,3.99,cheap
33,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$8.75 ,8.75,moderate
33,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
34,1,Chicken Soft Tacos,"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",$8.75 ,8.75,moderate
34,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Lettuce]]",$8.75 ,8.75,moderate
34,1,Chips,Pending,$2.15 ,2.15,cheap
34,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$8.75 ,8.75,moderate
35,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]",$11.25 ,11.25,pricey
35,1,Chips,Pending,$2.15 ,2.15,cheap
36,1,Barbacoa Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]",$9.25 ,9.25,moderate
36,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$8.75 ,8.75,moderate
37,1,Chicken Burrito,"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese]]",$8.75 ,8.75,moderate
37,1,Steak Soft Tacos,[Tomatillo Red Chili Salsa],$9.25 ,9.25,moderate
38,1,Veggie Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce]]",$8.49 ,8.49,moderate
38,1,Steak Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce]]",$8.99 ,8.99,moderate
38,1,Bottled Water,Pending,$1.09 ,1.09,cheap
39,1,Carnitas Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]",$9.25 ,9.25,moderate
39,1,Chips and Fresh Tomato Salsa,Pending,$2.95 ,2.95,cheap
40,1,Steak Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",$11.75 ,11.75,pricey
40,1,Steak Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole]]",$11.75 ,11.75,pricey
40,1,Steak Crispy Tacos,"[Fresh Tomato Salsa, Sour Cream]",$9.25 ,9.25,moderate
41,1,Carnitas Burrito,"[Roasted Chili Corn Salsa, [Sour Cream, Guacamole]]",$11.75 ,11.75,pricey
41,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
42,1,Barbacoa Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]",$9.25 ,9.25,moderate
42,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
43,1,Carnitas Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",$11.75 ,11.75,pricey
43,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]",$8.75 ,8.75,moderate
44,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Sour Cream, Lettuce]]",$8.75 ,8.75,moderate
44,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
45,1,Steak Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
45,1,Steak Bowl,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
45,1,Chips and Guacamole,Pending,$3.99 ,3.99,cheap
46,1,Veggie Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Sour Cream, Lettuce]]",$8.49 ,8.49,moderate
46,1,Nantucket Nectar,[Pineapple Orange Banana],$3.39 ,3.39,cheap
47,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]",$8.99 ,8.99,moderate
47,1,Canned Soda,[Dr. Pepper],$1.09 ,1.09,cheap
48,1,Steak Burrito,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]",$9.25 ,9.25,moderate
48,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
49,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$8.75 ,8.75,moderate
49,1,Chips and Tomatillo Red Chili Salsa,Pending,$2.95 ,2.95,cheap
49,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
50,1,Chips and Tomatillo-Green Chili Salsa,Pending,$2.39 ,2.39,cheap
50,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",$8.49 ,8.49,moderate
51,1,Barbacoa Bowl,"[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
51,1,Chicken Burrito,"[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Cheese, Lettuce]]",$8.49 ,8.49,moderate
51,1,Canned Soda,[Diet Dr. Pepper],$1.09 ,1.09,cheap
52,1,Steak Soft Tacos,"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Cheese, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
52,1,Chips and Guacamole,Pending,$3.99 ,3.99,cheap
53,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]",$8.75 ,8.75,moderate
53,1,Barbacoa Burrito,"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]",$9.25 ,9.25,moderate
53,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
54,1,Chicken Bowl,"[Fresh Tomato Salsa, [Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice]]",$11.25 ,11.25,pricey
54,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
55,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]",$8.99 ,8.99,moderate
55,1,Canned Soda,[Coca Cola],$1.09 ,1.09,cheap
56,1,Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]",$9.25 ,9.25,moderate
56,1,Chips and Tomatillo Red Chili Salsa,Pending,$2.95 ,2.95,cheap
56,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
57,1,Barbacoa Burrito,"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]",$11.75 ,11.75,pricey
57,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
58,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",$8.49 ,8.49,moderate
58,1,Chips and Tomatillo-Green Chili Salsa,Pending,$2.39 ,2.39,cheap
59,1,Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]",$10.98 ,10.98,pricey
60,2,Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]",$22.50 ,22.5,pricey
61,1,Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 ,11.75,pricey
61,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
62,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole]]",$11.25 ,11.25,pricey
62,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
63,1,Chicken Bowl,"[Tomatillo Green Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",$11.25 ,11.25,pricey
63,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
64,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
64,1,Veggie Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
65,1,Barbacoa Burrito,"[Tomatillo Red Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",$11.75 ,11.75,pricey
65,1,Carnitas Bowl,"[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese]]",$9.25 ,9.25,moderate
65,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
66,1,Steak Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]",$11.48 ,11.48,pricey
67,2,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]",$17.98 ,17.98,pricey
67,1,Side of Chips,Pending,$1.69 ,1.69,cheap
68,2,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]",$17.50 ,17.5,pricey
68,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
69,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",$8.49 ,8.49,moderate
69,1,Chips and Tomatillo-Green Chili Salsa,Pending,$2.39 ,2.39,cheap
70,2,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Lettuce]]",$17.50 ,17.5,pricey
70,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
71,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
71,1,Veggie Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
71,1,Steak Burrito,"[Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole, Lettuce]]",$11.75 ,11.75,pricey
72,1,Chicken Burrito,"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",$10.98 ,10.98,pricey
73,1,Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.49 ,8.49,moderate
73,1,Chicken Burrito,"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce]]",$10.98 ,10.98,pricey
73,2,Canned Soda,[Diet Coke],$2.18 ,2.18,cheap
74,1,Carnitas Bowl,"[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.48 ,11.48,pricey
74,1,Veggie Bowl,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.49 ,8.49,moderate
74,1,Chips and Tomatillo-Green Chili Salsa,Pending,$2.39 ,2.39,cheap
75,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
75,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
75,1,Barbacoa Crispy Tacos,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",$11.75 ,11.75,pricey
75,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream]]",$8.75 ,8.75,moderate
76,1,Chicken Burrito,"[[Tomatillo-Red Chili Salsa (Hot), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Cheese, Lettuce]]",$8.49 ,8.49,moderate
76,2,Canned Soda,[Diet Dr. Pepper],$2.18 ,2.18,cheap
77,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.49 ,8.49,moderate
77,1,Nantucket Nectar,[Apple],$3.39 ,3.39,cheap
78,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), Lettuce]",$8.49 ,8.49,moderate
78,1,Steak Soft Tacos,"[Roasted Chili Corn Salsa (Medium), Lettuce]",$8.99 ,8.99,moderate
79,1,Chicken Bowl,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",$10.98 ,10.98,pricey
80,1,Steak Burrito,"[Fresh Tomato Salsa (Mild), [Rice, Black Beans, Sour Cream, Guacamole]]",$11.48 ,11.48,pricey
81,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream]]",$8.49 ,8.49,moderate
81,1,Canned Soda,[Coca Cola],$1.09 ,1.09,cheap
81,1,Canned Soda,[Dr. Pepper],$1.09 ,1.09,cheap
82,1,Barbacoa Soft Tacos,"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]",$9.25 ,9.25,moderate
82,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream]]",$8.75 ,8.75,moderate
82,1,Chips and Fresh Tomato Salsa,Pending,$2.95 ,2.95,cheap
83,1,Steak Soft Tacos,"[Fresh Tomato Salsa, [Cheese, Sour Cream]]",$9.25 ,9.25,moderate
83,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
83,1,Veggie Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
84,1,Steak Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Guacamole, Lettuce]]",$11.48 ,11.48,pricey
84,1,Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]",$8.49 ,8.49,moderate
84,1,Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Cheese, Lettuce]]",$8.49 ,8.49,moderate
85,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Fajita Veggies, Cheese, Lettuce, Sour Cream, Rice]]",$8.99 ,8.99,moderate
85,1,Chips and Roasted Chili-Corn Salsa,Pending,$2.39 ,2.39,cheap
86,1,Veggie Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
86,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]",$8.75 ,8.75,moderate
86,1,Chips and Fresh Tomato Salsa,Pending,$2.95 ,2.95,cheap
87,1,Canned Soda,[Coca Cola],$1.09 ,1.09,cheap
87,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]",$8.99 ,8.99,moderate
88,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",$8.49 ,8.49,moderate
88,1,Chips and Tomatillo-Green Chili Salsa,Pending,$2.39 ,2.39,cheap
89,1,Chicken Bowl,"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Guacamole, Lettuce]]",$10.98 ,10.98,pricey
89,1,Canned Soda,[Diet Coke],$1.09 ,1.09,cheap
89,1,Chips and Guacamole,Pending,$3.99 ,3.99,cheap
90,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]",$11.25 ,11.25,pricey
90,1,Chicken Burrito,"[Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Sour Cream, Cheese, Lettuce]]",$8.75 ,8.75,moderate
91,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.49 ,8.49,moderate
91,1,Nantucket Nectar,[Peach Orange],$3.39 ,3.39,cheap
92,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Cheese, Lettuce]]",$8.75 ,8.75,moderate
92,1,Steak Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$9.25 ,9.25,moderate
92,1,Chips,Pending,$2.15 ,2.15,cheap
93,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
93,1,Veggie Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
93,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
93,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
94,2,Chicken Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Guacamole]]",$22.50 ,22.5,pricey
95,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
95,1,Steak Bowl,"[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",$11.75 ,11.75,pricey
96,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$8.75 ,8.75,moderate
96,2,Chicken Crispy Tacos,"[Tomatillo Red Chili Salsa, [Cheese, Sour Cream, Lettuce]]",$17.50 ,17.5,pricey
96,1,Chicken Bowl,"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$8.75 ,8.75,moderate
97,1,Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]",$9.25 ,9.25,moderate
97,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$8.75 ,8.75,moderate
97,1,Chips,Pending,$2.15 ,2.15,cheap
